Timestamp,PID,Nombre,Dir_Local,Pto_Local,Dir_Remota,Pto_Remota,Estado,Tiempo_Enlace,Memoria
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,41576,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10049,brave,172.31.9.229,38018,157.240.25.60,443,ESTABLISHED,00:03:22,136.6 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37512,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53394,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,24266,openclaw-gateway,127.0.0.1,18789,-,-,LISTEN,00:03:22,426.3 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53378,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37610,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37698,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,40188,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,37400,code,127.0.0.1,44628,-,-,LISTEN,00:03:22,609.1 MB
2026-05-20 14:42:24,9028,thunderbird-bin,172.31.9.229,36644,74.208.62.188,993,ESTABLISHED,00:03:22,647.9 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,37602,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,40202,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60348,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,41676,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53864,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,53936,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,41630,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,50478,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60286,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
2026-05-20 14:42:24,36531,code,127.0.0.1,57376,127.0.0.1,44628,ESTABLISHED,00:01:11,572.0 MB
2026-05-20 14:42:24,10817,io.elementary.appcenter,172.31.9.229,60294,167.82.49.91,443,CLOSE_WAIT,00:03:22,2.1 GB
